,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Skycat Oy,16.03.2015,
1,Y-tunnus,2677756-3,,
2,Kotipaikka,Tammela,16.03.2015,
3,Yritysmuoto,Osakeyhtiö,16.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,16.03.2015,,
6,Viimeisin rekisteröintiajankohta,30.06.2022,30.06.2022,
7,Yrityksen tiedot järjestelmässä alkaen,16.03.2015,,
8,Yrityksen tila,Rekisterissä,16.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,19.01.2020,
11,Yhteystiedot,,26.05.2015,
12,Postiosoite,Kaukolantie 281  30100  Forssa  Suomi,,
13,Käyntiosoite,kaukolantie 281  30100  Forssa  Suomi,,
14,Sähköposti,henri.hiisila(a)skycat.pro,,
15,Www,http://www.skycat.pro,,
