,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,KURUPIILO OY,04.08.2021,
1,Y-tunnus,2679030-3,,
2,Kotipaikka,Rovaniemi,18.03.2015,
3,Yritysmuoto,Osakeyhtiö,18.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,18.03.2015,,
6,Viimeisin rekisteröintiajankohta,11.01.2022,11.01.2022,
7,Yrityksen tiedot järjestelmässä alkaen,18.03.2015,,
8,Yrityksen tila,Rekisterissä,04.08.2021,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,28.05.2020,
11,Yhteystiedot,,28.02.2015,
12,Postiosoite,Aamukasteentie 15  96190  Rovaniemi  Suomi,,
13,Käyntiosoite,Aamukasteentie 15  96190  Rovaniemi  Suomi,,
14,Puhelin,+358443788110,,
15,Sähköposti,paksupaulus(a)gmail.com,,
16,Www,http://www.kurupiilo.fi,,
