,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kahvila-Ravintola Hurpakka Oy,10.03.2015,
1,Y-tunnus,2679218-1,,
2,Kotipaikka,Kinnula,10.03.2015,
3,Yritysmuoto,Osakeyhtiö,10.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,10.03.2015,,
6,Viimeisin rekisteröintiajankohta,03.09.2022,03.09.2022,
7,Yrityksen tiedot järjestelmässä alkaen,10.03.2015,,
8,Yrityksen tila,Rekisterissä,10.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,16.04.2019,
12,Postiosoite,Kallentie 1 A 3  43900  Kinnula  Suomi,,
13,Käyntiosoite,Kallentie 1 A 3  43900  Kinnula  Suomi,,
