,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kiinteistöhuolto Hautanen Oy,24.03.2015,
1,Y-tunnus,2678102-8,,
2,Kotipaikka,Seinäjoki,24.03.2015,
3,Yritysmuoto,Osakeyhtiö,24.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,24.03.2015,,
6,Viimeisin rekisteröintiajankohta,26.07.2022,26.07.2022,
7,Yrityksen tiedot järjestelmässä alkaen,24.03.2015,,
8,Yrityksen tila,Rekisterissä,24.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,19.09.2019,
11,Yhteystiedot,,03.01.2019,
12,Postiosoite,Tuottajankuja 1 A 6  60100  Seinäjoki  Suomi,,
13,Käyntiosoite,Tuottajankuja 1 A 6  60100  Seinäjoki  Suomi,,
14,Puhelin,040 066 0227,,
