,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,AitioTalo Oy,19.09.2022,
1,Y-tunnus,2667313-1,,
2,Kotipaikka,Helsinki,19.09.2022,
3,Yritysmuoto,Osakeyhtiö,29.01.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,29.01.2015,,
6,Viimeisin rekisteröintiajankohta,19.09.2022,19.09.2022,
7,Yrityksen tiedot järjestelmässä alkaen,29.01.2015,,
8,Yrityksen tila,Rekisterissä,29.01.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,28.11.2021,
11,Yhteystiedot,,01.12.2021,
12,Postiosoite,Teollisuustie 4  06150  Porvoo  Suomi,,
13,Käyntiosoite,Teollisuustie 4  06150  Porvoo  Suomi,,
14,Puhelin,+358 406701414,,
