,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Franck Import Oy,15.12.2015,
1,Y-tunnus,2730005-4,,
2,Kotipaikka,Helsinki,15.12.2015,
3,Yritysmuoto,Osakeyhtiö,15.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,15.12.2015,,
6,Viimeisin rekisteröintiajankohta,01.04.2021,01.04.2021,
7,Yrityksen tiedot järjestelmässä alkaen,15.12.2015,,
8,Yrityksen tila,Rekisterissä,15.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,20.06.2016,
12,Postiosoite,Tuomitie 18  06100  Porvoo  Suomi,,
13,Käyntiosoite,Tuomitie 18  06100  Porvoo  Suomi,,
14,Puhelin,"09-2211466, 0400-884415",,
15,Sähköposti,myynti(a)minifinder.fi,,
16,Www,http://www.minifinder.fi,,
