,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Eat-Group Oy,31.08.2015,
1,Y-tunnus,2703381-4,,
2,Kotipaikka,Espoo,31.08.2015,
3,Yritysmuoto,Osakeyhtiö,31.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,31.08.2015,,
6,Viimeisin rekisteröintiajankohta,02.09.2022,02.09.2022,
7,Yrityksen tiedot järjestelmässä alkaen,31.08.2015,,
8,Yrityksen tila,Rekisterissä,31.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,24.06.2020,
11,Yhteystiedot,,12.11.2021,
12,Postiosoite,c/o Subway Jätkäsaari  Tyynenmerenkatu 11  00220  Helsinki  Suomi,,
13,Käyntiosoite,c/o Subway Jätkäsaari  Tyynenmerenkatu 11  00220  Helsinki  Suomi,,
14,Sähköposti,subwaytapiola(a)kolumbus.fi,,
