,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kiinteistö Oy Real Areena,11.01.2016,
1,Y-tunnus,2733061-6,,
2,Kotipaikka,Lempäälä,11.01.2016,
3,Yritysmuoto,Osakeyhtiö,11.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,11.01.2016,,
6,Lakkaamisajankohta,31.10.2017,31.10.2017,
7,Viimeisin rekisteröintiajankohta,06.03.2018,06.03.2018,
8,Yrityksen tiedot järjestelmässä alkaen,11.01.2016,,
9,Yrityksen tila,Lakannut,31.10.2017,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
