,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Pineart Production Oy,05.02.2016,
1,Y-tunnus,2737854-8,,
2,Kotipaikka,Oulu,05.02.2016,
3,Yritysmuoto,Osakeyhtiö,05.02.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,05.02.2016,,
6,Viimeisin rekisteröintiajankohta,25.08.2022,25.08.2022,
7,Yrityksen tiedot järjestelmässä alkaen,05.02.2016,,
8,Yrityksen tila,Rekisterissä,05.02.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,15.07.2020,
11,Yhteystiedot,,20.06.2016,
12,Postiosoite,Hakkuutie 5  90420  Oulu  Suomi,,
13,Käyntiosoite,Hakkuutie 5  90420  Oulu  Suomi,,
14,Puhelin,0505478707,,
15,Sähköposti,kari.poutiainen(a)pineart.fi,,
16,Www,http://www.pineart.fi,,
