,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Consentio oy,14.04.2015,
1,Y-tunnus,2683950-9,,
2,Kotipaikka,Helsinki,14.04.2015,
3,Yritysmuoto,Osakeyhtiö,14.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,14.04.2015,,
6,Viimeisin rekisteröintiajankohta,06.05.2022,06.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,14.04.2015,,
8,Yrityksen tila,Rekisterissä,14.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,20.12.2020,
11,Yhteystiedot,,31.05.2020,
12,Postiosoite,Poutamäentie 11 A 1  00360  Helsinki  Suomi,,
13,Käyntiosoite,Poutamäentie 11 A 1  00360  Helsinki  Suomi,,
14,Puhelin,0407608884,,
15,Sähköposti,pe.laitila(a)gmail.com,,
