,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,HK Hakekuljetus Oy,27.09.2016,
1,Y-tunnus,2702355-2,,
2,Kotipaikka,Lappeenranta,05.08.2015,
3,Yritysmuoto,Osakeyhtiö,05.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,05.08.2015,,
6,Viimeisin rekisteröintiajankohta,08.04.2022,08.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,05.08.2015,,
8,Yrityksen tila,Rekisterissä,05.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,09.06.2020,
11,Yhteystiedot,,13.03.2022,
12,Postiosoite,c/o Bonum Yhtiöt  Raatimiehenkatu 18  53100  Lappeenranta  Suomi,,
13,Käyntiosoite,Raatimiehenkatu 18  53100  Lappeenranta  Suomi,,
