,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,XXL Capital Oy,13.02.2019,
1,Y-tunnus,2698280-7,,
2,Kotipaikka,Helsinki,05.02.2018,
3,Yritysmuoto,Osakeyhtiö,06.07.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,06.07.2015,,
6,Viimeisin rekisteröintiajankohta,21.01.2023,21.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,06.07.2015,,
8,Yrityksen tila,Rekisterissä,06.07.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,24.06.2020,
11,Yhteystiedot,,14.06.2021,
12,Postiosoite,Huopalahdentie 24  00350  Helsinki  Suomi,,
13,Käyntiosoite,Huopalahdentie 24  00350  Helsinki  Suomi,,
