,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,it-stone Oy,26.05.2015,
1,Y-tunnus,2689061-1,,
2,Kotipaikka,Janakkala,26.05.2015,
3,Yritysmuoto,Osakeyhtiö,26.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,26.05.2015,,
6,Viimeisin rekisteröintiajankohta,23.03.2023,23.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,26.05.2015,,
8,Yrityksen tila,Rekisterissä,26.05.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,18.06.2020,
11,Yhteystiedot,,22.10.2021,
12,Postiosoite,Hossantie 53  89920  Ruhtinansalmi  Suomi,,
13,Käyntiosoite,Hossantie 53  89920  Ruhtinansalmi  Suomi,,
14,Puhelin,0400810524,,
15,Sähköposti,ahti.saali(a)saali.fi,,
