,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Book Garden Oy,30.01.2020,
1,Y-tunnus,2716746-8,,
2,Kotipaikka,Helsinki,08.08.2018,
3,Yritysmuoto,Osakeyhtiö,15.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,15.10.2015,,
6,Viimeisin rekisteröintiajankohta,21.04.2023,21.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,15.10.2015,,
8,Yrityksen tila,Rekisterissä,15.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,02.05.2019,
12,Postiosoite,Lapinlahdenpolku 8 A  00180  Helsinki  Suomi,,
13,Käyntiosoite,Lapinlahdenpolku 8 A  00180  Helsinki  Suomi,,
