,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Amer Sports Digital Services Oy,31.12.2015,
1,Y-tunnus,2703839-1,,
2,Kotipaikka,Helsinki,31.12.2015,
3,Yritysmuoto,Osakeyhtiö,31.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,31.12.2015,,
6,Viimeisin rekisteröintiajankohta,03.02.2023,03.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,31.12.2015,,
8,Yrityksen tila,Rekisterissä,31.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,01.07.2020,
11,Yhteystiedot,,30.01.2017,
12,Postiosoite,Tammiston Kauppatie 7 B  01510  Vantaa  Suomi,,
13,Käyntiosoite,Tammiston Kauppatie 7 B  01510  Vantaa  Suomi,,
14,Puhelin,020 7122 500,,
