,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Footprints On The Moon Oy,29.10.2015,
1,Y-tunnus,2720303-5,,
2,Kotipaikka,Helsinki,29.10.2015,
3,Yritysmuoto,Osakeyhtiö,29.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,29.10.2015,,
6,Viimeisin rekisteröintiajankohta,11.06.2022,11.06.2022,
7,Yrityksen tiedot järjestelmässä alkaen,29.10.2015,,
8,Yrityksen tila,Rekisterissä,29.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,17.04.2018,
12,Postiosoite,c/o A GRID  PL 13100  00076  AALTO  Suomi,,
13,Käyntiosoite,c/o Aalto Startup Center  Otakaari 5 A  02150  Espoo  Suomi,,
