,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Pikonlinnan E-F Kiinteistöt Oy,31.12.2015,
1,Y-tunnus,2701526-1,,
2,Kotipaikka,Kangasala,31.12.2015,
3,Yritysmuoto,Osakeyhtiö,31.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,31.12.2015,,
6,Viimeisin rekisteröintiajankohta,07.05.2022,07.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,31.12.2015,,
8,Yrityksen tila,Rekisterissä,31.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,22.06.2020,
11,Yhteystiedot,,16.12.2015,
12,Postiosoite,c/o Pikonlinna Kiinteistöt Oy  Pikonlinnantie 240  36280  Pikonlinna  Suomi,,
