,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,R&K-Rakentajat Oy,22.07.2015,
1,Y-tunnus,2698461-8,,
2,Kotipaikka,Hirvensalmi,22.07.2015,
3,Yritysmuoto,Osakeyhtiö,22.07.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,22.07.2015,,
6,Viimeisin rekisteröintiajankohta,07.05.2022,07.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,22.07.2015,,
8,Yrityksen tila,Rekisterissä,22.07.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,25.03.2020,
11,Yhteystiedot,,28.06.2015,
12,Postiosoite,Kirmaistentie 134  52550  Hirvensalmi  Suomi,,
13,Käyntiosoite,Kirmaistentie 134  52550  Hirvensalmi  Suomi,,
14,Puhelin,"0500655725, 0405187642",,
15,Sähköposti,mm.rakennus(a)outlook.com,,
