,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Akreyi Family Oy,29.11.2016,
1,Y-tunnus,2694483-5,,
2,Kotipaikka,Lahti,16.07.2015,
3,Yritysmuoto,Osakeyhtiö,16.07.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,16.07.2015,,
6,Viimeisin rekisteröintiajankohta,13.09.2022,13.09.2022,
7,Yrityksen tiedot järjestelmässä alkaen,16.07.2015,,
8,Yrityksen tila,Rekisterissä,16.07.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,10.02.2021,
11,Yhteystiedot,,05.09.2022,
12,Postiosoite,c/o Akreyi Family oy  Okeroistentie 49  15800  Lahti  Suomi,,
13,Käyntiosoite,c/o Paavolan Pub  Saimaankatu 18  15140  Lahti  Suomi,,
