,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,IDR Oy,13.10.2015,
1,Y-tunnus,2716858-3,,
2,Kotipaikka,Espoo,13.10.2015,
3,Yritysmuoto,Osakeyhtiö,13.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,13.10.2015,,
6,Viimeisin rekisteröintiajankohta,18.04.2023,18.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,13.10.2015,,
8,Yrityksen tila,Rekisterissä,13.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,29.04.2020,
11,Yhteystiedot,,03.10.2022,
12,Postiosoite,c/o Boffice (5. krs)  Hämeentie 3  00530  Helsinki  Suomi,,
13,Käyntiosoite,c/o Boffice (5. krs)  Hämeentie 3  00530  Helsinki  Suomi,,
14,Www,http://www.idrcloud.com,,
