,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Matera Oy Maatalous- ja teollisuusrakentamisen ammattiliike,20.01.2016,
1,Y-tunnus,2731414-9,,
2,Kotipaikka,Veteli,20.01.2016,
3,Yritysmuoto,Osakeyhtiö,20.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,20.01.2016,,
6,Viimeisin rekisteröintiajankohta,09.05.2023,09.05.2023,
7,Yrityksen tiedot järjestelmässä alkaen,20.01.2016,,
8,Yrityksen tila,Rekisterissä,20.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,01.06.2022,
11,Yhteystiedot,,20.04.2018,
12,Postiosoite,Lumppiontie 3  69730  Tunkkari  Suomi,,
13,Käyntiosoite,Lumppiontie 3  69730  Tunkkari  Suomi,,
