,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kiinteistö Oy Lipputehdas,15.06.2015,
1,Y-tunnus,2695696-7,,
2,Kotipaikka,Pälkäne,15.06.2015,
3,Yritysmuoto,Osakeyhtiö,15.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,15.06.2015,,
6,Viimeisin rekisteröintiajankohta,19.11.2021,19.11.2021,
7,Yrityksen tiedot järjestelmässä alkaen,15.06.2015,,
8,Yrityksen tila,Rekisterissä,15.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,19.11.2021,
11,Yhteystiedot,,10.06.2015,
12,Postiosoite,Kankaantie 4  36720  Aitoo  Suomi,,
13,Käyntiosoite,Kankaantie 4  36720  Aitoo  Suomi,,
