,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Ravintola Paakari Oy,31.05.2016,
1,Y-tunnus,2721975-8,,
2,Kotipaikka,Kangasala,31.05.2016,
3,Yritysmuoto,Osakeyhtiö,31.05.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,31.05.2016,,
6,Viimeisin rekisteröintiajankohta,07.02.2023,07.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,31.05.2016,,
8,Yrityksen tila,Rekisterissä,31.05.2016,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,19.01.2022,
11,Yhteystiedot,,19.05.2016,
12,Postiosoite,Ruutanantie 3  36200  Kangasala  Suomi,,
13,Käyntiosoite,Ruutanantie 3  36200  Kangasala  Suomi,,
14,Www,http://www.ravintolapaakari.com/fi/,,
