,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Mount Nepal Oy,31.03.2015,
1,Y-tunnus,2682048-8,,
2,Kotipaikka,Helsinki,31.03.2015,
3,Yritysmuoto,Osakeyhtiö,31.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,31.03.2015,,
6,Viimeisin rekisteröintiajankohta,23.03.2022,23.03.2022,
7,Yrityksen tiedot järjestelmässä alkaen,31.03.2015,,
8,Yrityksen tila,Rekisterissä,31.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,03.04.2017,
12,Postiosoite,Kaupinkalliontie 7  02100  Espoo  Suomi,,
13,Käyntiosoite,Kaupinkalliontie 7  02100  Espoo  Suomi,,
