,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Aurinkorinteen Pikkutalli Oy,21.10.2015,
1,Y-tunnus,2717070-4,,
2,Kotipaikka,Hämeenlinna,21.10.2015,
3,Yritysmuoto,Osakeyhtiö,21.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,21.10.2015,,
6,Lakkaamisajankohta,11.02.2020,11.02.2020,
7,Viimeisin rekisteröintiajankohta,11.02.2020,11.02.2020,
8,Yrityksen tiedot järjestelmässä alkaen,21.10.2015,,
9,Yrityksen tila,Lakannut,11.02.2020,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
