,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Muro Studios Oy,08.04.2015,
1,Y-tunnus,2683278-8,,
2,Kotipaikka,Espoo,01.02.2019,
3,Yritysmuoto,Osakeyhtiö,08.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,08.04.2015,,
6,Viimeisin rekisteröintiajankohta,28.05.2022,28.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,08.04.2015,,
8,Yrityksen tila,Rekisterissä,08.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,20.05.2020,
11,Yhteystiedot,,31.07.2018,
12,Postiosoite,Päivänkilontie 2 C 9  02210  Espoo  Suomi,,
13,Käyntiosoite,Päivänkilontie 2 C 9  02210  Espoo  Suomi,,
14,Puhelin,0442811371,,
15,Sähköposti,info(a)murostudios.com,,
16,Www,http://www.murostudios.com,,
