,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,IP-KONEPALVELU OY,12.05.2015,
1,Y-tunnus,2689617-5,,
2,Kotipaikka,Tampere,12.05.2015,
3,Yritysmuoto,Osakeyhtiö,12.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,12.05.2015,,
6,Viimeisin rekisteröintiajankohta,22.04.2022,22.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,12.05.2015,,
8,Yrityksen tila,Rekisterissä,12.05.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,04.06.2020,
11,Yhteystiedot,,06.05.2015,
12,Postiosoite,Vähäniemenkatu 29 B  33410  Tampere  Suomi,,
13,Puhelin,0400807404,,
14,Sähköposti,info(a)ip-konepalvelu.fi,,
