,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Porvoon Teollisuuspalvelu Oy,28.01.2016,
1,Y-tunnus,2728406-6,,
2,Kotipaikka,Helsinki,28.01.2016,
3,Yritysmuoto,Osakeyhtiö,28.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,28.01.2016,,
6,Lakkaamisajankohta,17.07.2018,17.07.2018,
7,Viimeisin rekisteröintiajankohta,17.07.2018,17.07.2018,
8,Yrityksen tiedot järjestelmässä alkaen,28.01.2016,,
9,Yrityksen tila,Lakannut,17.07.2018,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
