,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kung Food Panda Events Oy,09.05.2016,
1,Y-tunnus,2681097-6,,
2,Kotipaikka,Espoo,10.04.2015,
3,Yritysmuoto,Osakeyhtiö,10.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,10.04.2015,,
6,Viimeisin rekisteröintiajankohta,28.05.2022,28.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,10.04.2015,,
8,Yrityksen tila,Rekisterissä,10.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,28.05.2022,
11,Yhteystiedot,,06.02.2018,
12,Postiosoite,Leppävaarankatu 3-9  02600  Espoo  Suomi,,
13,Puhelin,040 099 7075,,
