,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kojootti Invest Oy,18.12.2015,
1,Y-tunnus,2731395-5,,
2,Kotipaikka,Tampere,18.12.2015,
3,Yritysmuoto,Osakeyhtiö,18.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,18.12.2015,,
6,Viimeisin rekisteröintiajankohta,27.04.2023,27.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,18.12.2015,,
8,Yrityksen tila,Rekisterissä,18.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,11.12.2015,
12,Postiosoite,Pienkodinkatu 9 F 14  33560  Tampere  Suomi,,
13,Käyntiosoite,Pienkodinkatu 9 F 14  33560  Tampere  Suomi,,
