,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,RTC Granholm's Ab Oy,22.10.2015,
1,Y-tunnus,2713914-1,,
2,Kotipaikka,Vöyri,22.10.2015,
3,Yritysmuoto,Osakeyhtiö,22.10.2015,
4,Yrityksen kieli,ruotsi,,
5,Rekisteröintiajankohta,22.10.2015,,
6,Viimeisin rekisteröintiajankohta,09.07.2022,09.07.2022,
7,Yrityksen tiedot järjestelmässä alkaen,22.10.2015,,
8,Yrityksen tila,Rekisterissä,22.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,29.06.2020,
11,Yhteystiedot,,28.09.2015,
12,Postiosoite,Vesterö 1707  66640  Maxmo  Suomi,,
13,Käyntiosoite,Vesterö 1707  66640  Maxmo  Suomi,,
14,Puhelin,06-3455002,,
