,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kiinteistö Oy Jukovantie 20,01.10.2015,
1,Y-tunnus,2706059-9,,
2,Kotipaikka,Lieto,01.10.2015,
3,Yritysmuoto,Osakeyhtiö,25.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,25.08.2015,,
6,Viimeisin rekisteröintiajankohta,16.07.2022,16.07.2022,
7,Yrityksen tiedot järjestelmässä alkaen,25.08.2015,,
8,Yrityksen tila,Rekisterissä,25.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,06.05.2021,
11,Yhteystiedot,,30.09.2015,
12,Postiosoite,Jukovantie 20  21430  Yliskulma  Suomi,,
