,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Eco Energiacenter Oy Pori,05.03.2015,
1,Y-tunnus,2678605-6,,
2,Kotipaikka,Pori,05.03.2015,
3,Yritysmuoto,Osakeyhtiö,05.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,05.03.2015,,
6,Viimeisin rekisteröintiajankohta,24.05.2022,24.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,05.03.2015,,
8,Yrityksen tila,Rekisterissä,05.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,25.06.2020,
11,Yhteystiedot,,27.05.2016,
12,Postiosoite,Kellahdentie 127  29570  Söörmarkku  Suomi,,
13,Käyntiosoite,Kellahdentie 127  29570  Söörmarkku  Suomi,,
